V1,V2,V3,sci,common,kingdom,phylum,class,family,genus,header,order
Cluster 134,XP_009478920,809,Pelecanus crispus,Dalmatian Pelican,Metazoa,Chordata,Aves,Pelecanidae,Pelecanus,Dalmatian Pelican,Pelecaniformes
Cluster 135,XP_029855025,809,Aquila chrysaetos chrysaetos,NA,Metazoa,Chordata,Aves,Accipitridae,Aquila,Aquila chrysaetos chrysaetos,Accipitriformes
Cluster 135,XP_029855025,809,Aquila chrysaetos chrysaetos,NA,Metazoa,Chordata,Aves,Accipitridae,Aquila,Aquila chrysaetos chrysaetos,Accipitriformes
Cluster 135,XP_029855025,809,Aquila chrysaetos chrysaetos,NA,Metazoa,Chordata,Aves,Accipitridae,Aquila,Aquila chrysaetos chrysaetos,Accipitriformes
Cluster 136,XP_009954393,809,Leptosomus discolor,Cuckoo-Roller,Metazoa,Chordata,Aves,Leptosomidae,Leptosomus,Cuckoo-Roller,Coraciiformes
Cluster 136,XP_009954393,809,Leptosomus discolor,Cuckoo-Roller,Metazoa,Chordata,Aves,Leptosomidae,Leptosomus,Cuckoo-Roller,Coraciiformes
Cluster 136,XP_009954393,809,Leptosomus discolor,Cuckoo-Roller,Metazoa,Chordata,Aves,Leptosomidae,Leptosomus,Cuckoo-Roller,Coraciiformes
Cluster 137,XP_027757151,809,Empidonax traillii,Mosquero saucero,Metazoa,Chordata,Aves,Tyrannidae,Empidonax,Mosquero saucero,Passeriformes
Cluster 137,XP_027757151,809,Empidonax traillii,Mosquero saucero,Metazoa,Chordata,Aves,Tyrannidae,Empidonax,Mosquero saucero,Passeriformes
Cluster 137,XP_027757151,809,Empidonax traillii,Mosquero saucero,Metazoa,Chordata,Aves,Tyrannidae,Empidonax,Mosquero saucero,Passeriformes
Cluster 138,KFW83101,809,Manacus vitellinus,Golden-collared Manakin,Metazoa,Chordata,Aves,Pipridae,Manacus,Golden-collared Manakin,Passeriformes
Cluster 139,XP_032865981,809,Tyto alba alba,NA,Metazoa,Chordata,Aves,Tytonidae,Tyto,Tyto alba alba,Strigiformes
Cluster 139,XP_032865981,809,Tyto alba alba,NA,Metazoa,Chordata,Aves,Tytonidae,Tyto,Tyto alba alba,Strigiformes
Cluster 140,XP_009474590,809,Nipponia nippon,Japanese Crested Ibis,Metazoa,Chordata,Aves,Threskiornithidae,Nipponia,Japanese Crested Ibis,Pelecaniformes
Cluster 140,XP_009474590,809,Nipponia nippon,Japanese Crested Ibis,Metazoa,Chordata,Aves,Threskiornithidae,Nipponia,Japanese Crested Ibis,Pelecaniformes
Cluster 140,XP_009474590,809,Nipponia nippon,Japanese Crested Ibis,Metazoa,Chordata,Aves,Threskiornithidae,Nipponia,Japanese Crested Ibis,Pelecaniformes
Cluster 141,ACT66264,809,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 142,KFZ61156,809,Antrostomus carolinensis,Chuck-will's-widow,Metazoa,Chordata,Aves,Caprimulgidae,Antrostomus,Chuck-will's-widow,Caprimulgiformes
Cluster 143,XP_028297875,809,Gouania willdenowi,NA,Metazoa,Chordata,Actinopteri,Gobiesocidae,Gouania,Gouania willdenowi,Blenniiformes
Cluster 143,XP_028297880,785,Gouania willdenowi,NA,Metazoa,Chordata,Actinopteri,Gobiesocidae,Gouania,Gouania willdenowi,Blenniiformes
Cluster 143,XP_028297875,809,Gouania willdenowi,NA,Metazoa,Chordata,Actinopteri,Gobiesocidae,Gouania,Gouania willdenowi,Blenniiformes
Cluster 143,XP_028297875,809,Gouania willdenowi,NA,Metazoa,Chordata,Actinopteri,Gobiesocidae,Gouania,Gouania willdenowi,Blenniiformes
Cluster 144,XP_008402714,809,Poecilia reticulata,gupi,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,gupi,Cyprinodontiformes
Cluster 144,XP_008402714,809,Poecilia reticulata,gupi,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,gupi,Cyprinodontiformes
Cluster 144,ENSPREP00000028975_P,685,Poecilia reticulata,gupi,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,gupi,Cyprinodontiformes
Cluster 144,XP_008402714,809,Poecilia reticulata,gupi,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,gupi,Cyprinodontiformes
Cluster 145,XP_016345325,809,Sinocyclocheilus anshuiensis,NA,Metazoa,Chordata,Actinopteri,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus anshuiensis,Cypriniformes
Cluster 145,XP_016345325,809,Sinocyclocheilus anshuiensis,NA,Metazoa,Chordata,Actinopteri,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus anshuiensis,Cypriniformes
Cluster 145,XP_016345325,809,Sinocyclocheilus anshuiensis,NA,Metazoa,Chordata,Actinopteri,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus anshuiensis,Cypriniformes
Cluster 146,XP_010156467,809,Eurypyga helias,Ave sol,Metazoa,Chordata,Aves,Eurypygidae,Eurypyga,Ave sol,Gruiformes
Cluster 146,XP_010156467,809,Eurypyga helias,Ave sol,Metazoa,Chordata,Aves,Eurypygidae,Eurypyga,Ave sol,Gruiformes
Cluster 146,XP_010156467,809,Eurypyga helias,Ave sol,Metazoa,Chordata,Aves,Eurypygidae,Eurypyga,Ave sol,Gruiformes
Cluster 147,XP_014815705,809,Calidris pugnax,NA,Metazoa,Chordata,Aves,Scolopacidae,Calidris,Calidris pugnax,Charadriiformes
Cluster 147,XP_014815705,809,Calidris pugnax,NA,Metazoa,Chordata,Aves,Scolopacidae,Calidris,Calidris pugnax,Charadriiformes
Cluster 147,XP_014815705,809,Calidris pugnax,NA,Metazoa,Chordata,Aves,Scolopacidae,Calidris,Calidris pugnax,Charadriiformes
Cluster 148,XP_018584732,809,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossidae,Scleropages,Asian bonytongue,Osteoglossiformes
Cluster 148,XP_018584732,809,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossidae,Scleropages,Asian bonytongue,Osteoglossiformes
Cluster 148,ENSSFOP00015014958_S,809,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossidae,Scleropages,Asian bonytongue,Osteoglossiformes
Cluster 148,XP_018584732,809,Scleropages formosus,Asian bonytongue,Metazoa,Chordata,Actinopteri,Osteoglossidae,Scleropages,Asian bonytongue,Osteoglossiformes
Cluster 149,XP_021178197,809,Fundulus heteroclitus,mummichog,Metazoa,Chordata,Actinopteri,Fundulidae,Fundulus,mummichog,Cyprinodontiformes
Cluster 149,XP_021178197,809,Fundulus heteroclitus,mummichog,Metazoa,Chordata,Actinopteri,Fundulidae,Fundulus,mummichog,Cyprinodontiformes
Cluster 149,ENSFHEP00000027121_F,809,Fundulus heteroclitus,mummichog,Metazoa,Chordata,Actinopteri,Fundulidae,Fundulus,mummichog,Cyprinodontiformes
Cluster 149,XP_021178197,809,Fundulus heteroclitus,mummichog,Metazoa,Chordata,Actinopteri,Fundulidae,Fundulus,mummichog,Cyprinodontiformes
Cluster 150,XP_009887331,809,Charadrius vociferus,Chorlo tildío,Metazoa,Chordata,Aves,Charadriidae,Charadrius,Chorlo tildío,Charadriiformes
Cluster 150,XP_009887332,745,Charadrius vociferus,Chorlo tildío,Metazoa,Chordata,Aves,Charadriidae,Charadrius,Chorlo tildío,Charadriiformes
Cluster 150,XP_009887331,809,Charadrius vociferus,Chorlo tildío,Metazoa,Chordata,Aves,Charadriidae,Charadrius,Chorlo tildío,Charadriiformes
Cluster 150,XP_009887331,809,Charadrius vociferus,Chorlo tildío,Metazoa,Chordata,Aves,Charadriidae,Charadrius,Chorlo tildío,Charadriiformes
Cluster 151,XP_010290019,809,Phaethon lepturus,Rabijunco cola blanca,Metazoa,Chordata,Aves,Phaethontidae,Phaethon,Rabijunco cola blanca,Pelecaniformes
Cluster 151,XP_010290019,809,Phaethon lepturus,Rabijunco cola blanca,Metazoa,Chordata,Aves,Phaethontidae,Phaethon,Rabijunco cola blanca,Pelecaniformes
Cluster 151,XP_010290019,809,Phaethon lepturus,Rabijunco cola blanca,Metazoa,Chordata,Aves,Phaethontidae,Phaethon,Rabijunco cola blanca,Pelecaniformes
Cluster 152,XP_006639185,809,Lepisosteus oculatus,spotted gar,Metazoa,Chordata,Actinopteri,Lepisosteidae,Lepisosteus,spotted gar,Semionotiformes
Cluster 152,XP_006639185,809,Lepisosteus oculatus,spotted gar,Metazoa,Chordata,Actinopteri,Lepisosteidae,Lepisosteus,spotted gar,Semionotiformes
Cluster 152,XP_006639185,809,Lepisosteus oculatus,spotted gar,Metazoa,Chordata,Actinopteri,Lepisosteidae,Lepisosteus,spotted gar,Semionotiformes
Cluster 153,XP_005151516,809,Melopsittacus undulatus,Budgerigar,Metazoa,Chordata,Aves,Psittaculidae,Melopsittacus,Budgerigar,Psittaciformes
Cluster 154,ENSMVIP00005022060_M,809,Manacus vitellinus,Golden-collared Manakin,Metazoa,Chordata,Aves,Pipridae,Manacus,Golden-collared Manakin,Passeriformes
Cluster 155,XP_006122891,808,Pelodiscus sinensis,Chinese Softshell,Metazoa,Chordata,NA,Trionychidae,Pelodiscus,Chinese Softshell,Testudines
Cluster 155,XP_006122891,808,Pelodiscus sinensis,Chinese Softshell,Metazoa,Chordata,NA,Trionychidae,Pelodiscus,Chinese Softshell,Testudines
Cluster 155,ENSPSIP00000008051_P,808,Pelodiscus sinensis,Chinese Softshell,Metazoa,Chordata,NA,Trionychidae,Pelodiscus,Chinese Softshell,Testudines
Cluster 155,XP_006122891,808,Pelodiscus sinensis,Chinese Softshell,Metazoa,Chordata,NA,Trionychidae,Pelodiscus,Chinese Softshell,Testudines
Cluster 156,XP_004597549,808,Ochotona princeps,American Pika,Metazoa,Chordata,Mammalia,Ochotonidae,Ochotona,American Pika,Lagomorpha
Cluster 156,XP_004597549,808,Ochotona princeps,American Pika,Metazoa,Chordata,Mammalia,Ochotonidae,Ochotona,American Pika,Lagomorpha
Cluster 156,XP_004597549,808,Ochotona princeps,American Pika,Metazoa,Chordata,Mammalia,Ochotonidae,Ochotona,American Pika,Lagomorpha
Cluster 157,XP_005287845,808,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,NA,Emydidae,Chrysemys,Western Painted Turtle,Testudines
Cluster 158,XP_009563864,808,Cuculus canorus,Common Cuckoo,Metazoa,Chordata,Aves,Cuculidae,Cuculus,Common Cuckoo,Cuculiformes
Cluster 158,XP_009563864,808,Cuculus canorus,Common Cuckoo,Metazoa,Chordata,Aves,Cuculidae,Cuculus,Common Cuckoo,Cuculiformes
Cluster 158,XP_009563864,808,Cuculus canorus,Common Cuckoo,Metazoa,Chordata,Aves,Cuculidae,Cuculus,Common Cuckoo,Cuculiformes
Cluster 159,XP_031451919,808,Phasianus colchicus,Common Pheasant,Metazoa,Chordata,Aves,Phasianidae,Phasianus,Common Pheasant,Galliformes
Cluster 159,XP_031451919,808,Phasianus colchicus,Common Pheasant,Metazoa,Chordata,Aves,Phasianidae,Phasianus,Common Pheasant,Galliformes
Cluster 159,XP_031451919,808,Phasianus colchicus,Common Pheasant,Metazoa,Chordata,Aves,Phasianidae,Phasianus,Common Pheasant,Galliformes
Cluster 160,XP_416822,808,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 160,XP_416822,808,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 160,ENSGALP00000026662_G,808,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 160,XP_416822,808,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 161,QEQ50331,808,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Phasianidae,Gallus,Red Junglefowl,Galliformes
Cluster 162,XP_026504918,808,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,NA,Emydidae,Terrapene,Three-toed Box Turtle,Testudines
Cluster 162,ENSTMTP00000011111_T,808,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,NA,Emydidae,Terrapene,Three-toed Box Turtle,Testudines
Cluster 163,XP_030407881,808,Gopherus evgoodei,Goode's Thornscrub Tortoise,Metazoa,Chordata,NA,Testudinidae,Gopherus,Goode's Thornscrub Tortoise,Testudines
Cluster 163,XP_030407881,808,Gopherus evgoodei,Goode's Thornscrub Tortoise,Metazoa,Chordata,NA,Testudinidae,Gopherus,Goode's Thornscrub Tortoise,Testudines
Cluster 163,XP_030407881,808,Gopherus evgoodei,Goode's Thornscrub Tortoise,Metazoa,Chordata,NA,Testudinidae,Gopherus,Goode's Thornscrub Tortoise,Testudines
Cluster 164,XP_010120523,808,Chlamydotis macqueenii,Macqueen's Bustard,Metazoa,Chordata,Aves,Otididae,Chlamydotis,Macqueen's Bustard,Gruiformes
Cluster 164,XP_010120523,808,Chlamydotis macqueenii,Macqueen's Bustard,Metazoa,Chordata,Aves,Otididae,Chlamydotis,Macqueen's Bustard,Gruiformes
Cluster 164,XP_010120523,808,Chlamydotis macqueenii,Macqueen's Bustard,Metazoa,Chordata,Aves,Otididae,Chlamydotis,Macqueen's Bustard,Gruiformes
Cluster 165,XP_026503951,808,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,NA,Emydidae,Terrapene,Three-toed Box Turtle,Testudines
Cluster 166,XP_032631197,808,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,NA,Testudinidae,Chelonoidis,Pinta Giant Tortoise,Testudines
Cluster 166,XP_032631197,808,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,NA,Testudinidae,Chelonoidis,Pinta Giant Tortoise,Testudines
Cluster 167,XP_032417398,808,Xiphophorus hellerii,cola de espada,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,cola de espada,Cyprinodontiformes
Cluster 167,XP_032417398,808,Xiphophorus hellerii,cola de espada,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,cola de espada,Cyprinodontiformes
Cluster 168,XP_028257887,808,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Ambassidae,Parambassis,Indian glassfish,NA
Cluster 168,XP_028257888,767,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Ambassidae,Parambassis,Indian glassfish,NA
Cluster 168,XP_028257887,808,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Ambassidae,Parambassis,Indian glassfish,NA
Cluster 168,XP_028257887,808,Parambassis ranga,Indian glassfish,Metazoa,Chordata,Actinopteri,Ambassidae,Parambassis,Indian glassfish,NA
Cluster 169,XP_027871671,808,Xiphophorus couchianus,espada de Monterrey,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,espada de Monterrey,Cyprinodontiformes
Cluster 169,XP_027871671,808,Xiphophorus couchianus,espada de Monterrey,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,espada de Monterrey,Cyprinodontiformes
Cluster 169,ENSXCOP00000000488_X,684,NA,NA,NA,NA,NA,NA,NA,ENSXCOP00000000488_X,NA
Cluster 169,XP_027871671,808,Xiphophorus couchianus,espada de Monterrey,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,espada de Monterrey,Cyprinodontiformes
Cluster 170,XP_014837025,808,Poecilia mexicana,shortfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,shortfin molly,Cyprinodontiformes
Cluster 170,XP_014837025,808,Poecilia mexicana,shortfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,shortfin molly,Cyprinodontiformes
Cluster 170,ENSPMEP00000034848_P,808,Poecilia mexicana,shortfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,shortfin molly,Cyprinodontiformes
Cluster 170,XP_014837025,808,Poecilia mexicana,shortfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,shortfin molly,Cyprinodontiformes
Cluster 171,XP_014895313,808,Poecilia latipinna,sailfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,sailfin molly,Cyprinodontiformes
Cluster 171,XP_014895313,808,Poecilia latipinna,sailfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,sailfin molly,Cyprinodontiformes
Cluster 171,ENSPLAP00000029724_P,684,Poecilia latipinna,sailfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,sailfin molly,Cyprinodontiformes
Cluster 171,XP_014895313,808,Poecilia latipinna,sailfin molly,Metazoa,Chordata,Actinopteri,Poeciliidae,Poecilia,sailfin molly,Cyprinodontiformes
Cluster 172,XP_009667495,808,Struthio camelus australis,NA,Metazoa,Chordata,Aves,Struthionidae,Struthio,Struthio camelus australis,Struthioniformes
Cluster 172,XP_009667495,808,Struthio camelus australis,NA,Metazoa,Chordata,Aves,Struthionidae,Struthio,Struthio camelus australis,Struthioniformes
Cluster 172,XP_009667495,808,Struthio camelus australis,NA,Metazoa,Chordata,Aves,Struthionidae,Struthio,Struthio camelus australis,Struthioniformes
Cluster 173,XP_005799835,808,Xiphophorus maculatus,platy,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,platy,Cyprinodontiformes
Cluster 173,XP_005799835,808,Xiphophorus maculatus,platy,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,platy,Cyprinodontiformes
Cluster 173,ENSXMAP00000001985_X,808,Xiphophorus maculatus,platy,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,platy,Cyprinodontiformes
Cluster 173,XP_005799835,808,Xiphophorus maculatus,platy,Metazoa,Chordata,Actinopteri,Poeciliidae,Xiphophorus,platy,Cyprinodontiformes
Cluster 174,XP_032355526,808,Etheostoma spectabile,orangethroat darter,Metazoa,Chordata,Actinopteri,Percidae,Etheostoma,orangethroat darter,Perciformes
Cluster 174,XP_032355526,808,Etheostoma spectabile,orangethroat darter,Metazoa,Chordata,Actinopteri,Percidae,Etheostoma,orangethroat darter,Perciformes
Cluster 175,KAF1392660,808,Perca fluviatilis,river perch,Metazoa,Chordata,Actinopteri,Percidae,Perca,river perch,Perciformes
Cluster 176,XP_031162227,808,Sander lucioperca,pikeperch,Metazoa,Chordata,Actinopteri,Percidae,Sander,pikeperch,Perciformes
Cluster 176,XP_031162227,808,Sander lucioperca,pikeperch,Metazoa,Chordata,Actinopteri,Percidae,Sander,pikeperch,Perciformes
Cluster 176,XP_031162227,808,Sander lucioperca,pikeperch,Metazoa,Chordata,Actinopteri,Percidae,Sander,pikeperch,Perciformes
Cluster 177,XP_025942946,808,Apteryx rowi,Okarito Brown Kiwi,Metazoa,Chordata,Aves,Apterygidae,Apteryx,Okarito Brown Kiwi,Apterygiformes
Cluster 177,XP_025942946,808,Apteryx rowi,Okarito Brown Kiwi,Metazoa,Chordata,Aves,Apterygidae,Apteryx,Okarito Brown Kiwi,Apterygiformes
Cluster 177,XP_025942946,808,Apteryx rowi,Okarito Brown Kiwi,Metazoa,Chordata,Aves,Apterygidae,Apteryx,Okarito Brown Kiwi,Apterygiformes
Cluster 178,XP_035182951,808,Oxyura jamaicensis,Pato tepalcate,Metazoa,Chordata,Aves,Anatidae,Oxyura,Pato tepalcate,Anseriformes
Cluster 179,XP_035398116,808,Cygnus atratus,Black Swan,Metazoa,Chordata,Aves,Anatidae,Cygnus,Black Swan,Anseriformes
Cluster 180,ENSSRHP00000086083_S,808,Sinocyclocheilus rhinocerous,NA,Metazoa,Chordata,Actinopteri,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus rhinocerous,Cypriniformes
Cluster 181,ENSOABP00000014235_O,808,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,tilapia azul,Cichliformes
Cluster 182,ENSGACP00000019926_G,808,NA,NA,NA,NA,NA,NA,NA,ENSGACP00000019926_G,NA
Cluster 183,ENSTNIP00000012378_T,808,NA,NA,NA,NA,NA,NA,NA,ENSTNIP00000012378_T,NA
Cluster 184,ENSCPUP00000010531_C,808,Calidris pugnax,NA,Metazoa,Chordata,Aves,Scolopacidae,Calidris,Calidris pugnax,Charadriiformes
Cluster 185,ENSABRP00000011483_A,808,NA,NA,NA,NA,NA,NA,NA,ENSABRP00000011483_A,NA
Cluster 186,ENSAMEP00000016920_A,808,NA,NA,NA,NA,NA,NA,NA,ENSAMEP00000016920_A,NA
Cluster 187,XP_009969209,808,Tyto alba,Common Barn-Owl,Metazoa,Chordata,Aves,Tytonidae,Tyto,Common Barn-Owl,Strigiformes
Cluster 188,XP_023104564,807,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Felidae,Felis,Domestic Cat,Carnivora
Cluster 188,XP_023104564,807,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Felidae,Felis,Domestic Cat,Carnivora
Cluster 189,XP_020863153,807,Phascolarctos cinereus,Koala,Metazoa,Chordata,Mammalia,Phascolarctidae,Phascolarctos,Koala,Diprotodontia
Cluster 189,XP_020863153,807,Phascolarctos cinereus,Koala,Metazoa,Chordata,Mammalia,Phascolarctidae,Phascolarctos,Koala,Diprotodontia
Cluster 189,XP_020863153,807,Phascolarctos cinereus,Koala,Metazoa,Chordata,Mammalia,Phascolarctidae,Phascolarctos,Koala,Diprotodontia
Cluster 190,XP_015742063,807,Coturnix japonica,Japanese Quail,Metazoa,Chordata,Aves,Phasianidae,Coturnix,Japanese Quail,Galliformes
Cluster 190,XP_015742063,807,Coturnix japonica,Japanese Quail,Metazoa,Chordata,Aves,Phasianidae,Coturnix,Japanese Quail,Galliformes
Cluster 190,ENSCJPP00005022803_C,807,Coturnix japonica,Japanese Quail,Metazoa,Chordata,Aves,Phasianidae,Coturnix,Japanese Quail,Galliformes
Cluster 190,XP_015742063,807,Coturnix japonica,Japanese Quail,Metazoa,Chordata,Aves,Phasianidae,Coturnix,Japanese Quail,Galliformes
Cluster 191,XP_010169238,807,Antrostomus carolinensis,Chuck-will's-widow,Metazoa,Chordata,Aves,Caprimulgidae,Antrostomus,Chuck-will's-widow,Caprimulgiformes
Cluster 191,XP_010169238,807,Antrostomus carolinensis,Chuck-will's-widow,Metazoa,Chordata,Aves,Caprimulgidae,Antrostomus,Chuck-will's-widow,Caprimulgiformes
Cluster 191,XP_010169238,807,Antrostomus carolinensis,Chuck-will's-widow,Metazoa,Chordata,Aves,Caprimulgidae,Antrostomus,Chuck-will's-widow,Caprimulgiformes
Cluster 192,XP_029603502,807,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmonidae,Salmo,brown trout,Salmoniformes
Cluster 192,ENSSTUP00000096621_S,807,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmonidae,Salmo,brown trout,Salmoniformes
Cluster 193,XP_031669258,807,Oncorhynchus kisutch,coho salmon,Metazoa,Chordata,Actinopteri,Salmonidae,Oncorhynchus,coho salmon,Salmoniformes
Cluster 194,XP_021433278,807,Oncorhynchus mykiss,rainbow trout,Metazoa,Chordata,Actinopteri,Salmonidae,Oncorhynchus,rainbow trout,Salmoniformes
Cluster 194,XP_021433278,807,Oncorhynchus mykiss,rainbow trout,Metazoa,Chordata,Actinopteri,Salmonidae,Oncorhynchus,rainbow trout,Salmoniformes
Cluster 194,XP_021433278,807,Oncorhynchus mykiss,rainbow trout,Metazoa,Chordata,Actinopteri,Salmonidae,Oncorhynchus,rainbow trout,Salmoniformes
Cluster 195,XP_029603257,807,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmonidae,Salmo,brown trout,Salmoniformes
Cluster 196,XP_031677944,807,Oncorhynchus kisutch,coho salmon,Metazoa,Chordata,Actinopteri,Salmonidae,Oncorhynchus,coho salmon,Salmoniformes
Cluster 197,XP_022605054,807,Seriola dumerili,greater amberjack,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,greater amberjack,Carangiformes
Cluster 197,XP_022605063,767,Seriola dumerili,greater amberjack,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,greater amberjack,Carangiformes
Cluster 197,XP_022605054,807,Seriola dumerili,greater amberjack,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,greater amberjack,Carangiformes
Cluster 197,XP_022605054,807,Seriola dumerili,greater amberjack,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,greater amberjack,Carangiformes
Cluster 198,XP_023257445,807,Seriola lalandi dorsalis,NA,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,Seriola lalandi dorsalis,Carangiformes
Cluster 198,XP_023257445,807,Seriola lalandi dorsalis,NA,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,Seriola lalandi dorsalis,Carangiformes
Cluster 198,ENSSLDP00000030491_S,807,Seriola lalandi dorsalis,NA,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,Seriola lalandi dorsalis,Carangiformes
Cluster 198,XP_023257445,807,Seriola lalandi dorsalis,NA,Metazoa,Chordata,Actinopteri,Carangidae,Seriola,Seriola lalandi dorsalis,Carangiformes
Cluster 199,XP_023124156,807,Amphiprion ocellaris,clown anemonefish,Metazoa,Chordata,Actinopteri,Pomacentridae,Amphiprion,clown anemonefish,NA
Cluster 199,XP_023124156,807,Amphiprion ocellaris,clown anemonefish,Metazoa,Chordata,Actinopteri,Pomacentridae,Amphiprion,clown anemonefish,NA
Cluster 199,ENSAOCP00000032143_A,786,Amphiprion ocellaris,clown anemonefish,Metazoa,Chordata,Actinopteri,Pomacentridae,Amphiprion,clown anemonefish,NA
Cluster 199,XP_023124156,807,Amphiprion ocellaris,clown anemonefish,Metazoa,Chordata,Actinopteri,Pomacentridae,Amphiprion,clown anemonefish,NA
Cluster 200,XP_005169417,807,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Danionidae,Danio,zebra danio,Cypriniformes
Cluster 201,XP_008290762,807,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Pomacentridae,Stegastes,chopita bicolor,NA
Cluster 201,XP_008290762,807,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Pomacentridae,Stegastes,chopita bicolor,NA
Cluster 201,ENSSPAP00000019779_S,684,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Pomacentridae,Stegastes,chopita bicolor,NA
Cluster 201,XP_008290762,807,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Pomacentridae,Stegastes,chopita bicolor,NA
Cluster 202,XP_029949257,807,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniidae,Salarias,lineated blenny,Blenniiformes
Cluster 203,XP_025891105,807,Nothoprocta perdicaria,Chilean Tinamou,Metazoa,Chordata,Aves,Tinamidae,Nothoprocta,Chilean Tinamou,Tinamiformes
Cluster 203,XP_025891105,807,Nothoprocta perdicaria,Chilean Tinamou,Metazoa,Chordata,Aves,Tinamidae,Nothoprocta,Chilean Tinamou,Tinamiformes
Cluster 203,XP_025891105,807,Nothoprocta perdicaria,Chilean Tinamou,Metazoa,Chordata,Aves,Tinamidae,Nothoprocta,Chilean Tinamou,Tinamiformes
Cluster 204,XP_026175949,807,Mastacembelus armatus,spiny eel,Metazoa,Chordata,Actinopteri,Mastacembelidae,Mastacembelus,spiny eel,Synbranchiformes
Cluster 204,XP_026175949,807,Mastacembelus armatus,spiny eel,Metazoa,Chordata,Actinopteri,Mastacembelidae,Mastacembelus,spiny eel,Synbranchiformes
